계약년월,시도,시군구,법정동,전세가율,거래건수,신규계약비율,소형주택비중_60이하,근저당_건수,임차권_건수,보증사고_건수,강제경매_건수,구조적위험총점,발생경보총점,종합총점,위험알림,사고알림,요약설명,사후검증
202307,서울특별시,강동구,길동,68.4,38,0.55,0.44,14,1,0,0,5,0,5,None,None,정상 범위,사후검증 대기
202308,서울특별시,강동구,길동,69.7,41,0.56,0.45,15,1,0,0,5,0,5,None,None,정상 범위,사후검증 대기
202309,서울특별시,강동구,길동,71.2,45,0.58,0.47,16,1,0,0,6,0,6,None,None,전세가율 주의 구간 진입,사후검증 대기
202310,서울특별시,강동구,길동,73.8,48,0.60,0.49,18,2,0,0,7,1,8,None,None,구조 위험 신호 관찰 단계,사후검증 대기
202311,서울특별시,강동구,길동,76.5,52,0.62,0.50,21,2,1,0,8,1,9,Warning,None,전세가율 및 근저당권 상승,경보 이후 사고 추적 필요
202312,서울특별시,강동구,길동,79.1,58,0.64,0.52,24,3,1,0,10,1,11,Warning,None,거래건수와 구조 지표 동반 상승,경보 이후 사고 추적 필요
202401,서울특별시,강동구,길동,82.7,66,0.67,0.55,29,4,2,1,12,3,15,Warning,None,전세가율 고위험권 접근,이후 6개월 사고 추적 필요
202402,서울특별시,강동구,길동,86.2,75,0.70,0.57,35,6,3,1,15,4,19,Critical,None,전세가율 85% 초과 및 근저당권 급증,사고 선행 신호 확인 필요
202403,서울특별시,강동구,길동,88.5,79,0.72,0.59,39,9,5,1,16,6,22,Critical,Warning,구조 위험 이후 임차권등기 증가,경보 이후 사고건수 증가 확인
202404,서울특별시,강동구,길동,87.4,72,0.69,0.58,37,12,7,2,15,8,23,Critical,Warning,구조 위험과 사고 신호 동시 확대,고위험 점검 후보
202405,서울특별시,강동구,길동,84.7,63,0.67,0.55,30,11,8,2,13,7,20,Critical,Warning,구조 위험 이후 사고 신호 증가,경보 이후 사고건수 증가 확인
202406,서울특별시,강동구,길동,81.3,55,0.63,0.52,25,8,6,1,10,5,15,Warning,None,위험 지표 완화 구간,사고 신호 둔화 확인
202307,서울특별시,강서구,화곡동,78.1,84,0.64,0.60,36,7,4,1,11,5,16,Warning,None,기존 고위험 지역의 위험 지속,사고 추세 지속 모니터링
